Rank,Feature
1,betweenness_std
2,rich_club_p25
3,n_edges_missing_ixp_data
4,ego_edges
5,n_edges
6,log_spanning_trees
7,betweenness_skewness
8,algebraic_connectivity
9,median_edge_ixp_cosine_dist
10,rich_club_p95
11,symmetry_ratio
12,n_edges_with_ixp_data
13,rich_club_p90
14,rich_club_p50
15,rich_club_p75
16,ego_valley_free_paths_total
17,ego_valley_free_paths_checked
18,core_mean
19,betweenness_mean
20,core_std
21,avg_path_length
22,betweenness_max
23,natural_connectivity
