,n_providers,n_customers,n_peers,n_unknown_rel,p2c_ratio,p2p_ratio,provider_ratio,is_tier1
n_providers,1.0,0.15111075764159546,0.2640222215397821,0.10439335236303618,0.1309881807867841,0.4179530682841969,0.42790214819435746,0.22780342115236532
n_customers,0.15111075764159546,1.0,0.20068810068524617,0.4329565822900146,0.7396641942990927,0.09043536380383864,0.38519228262782046,0.2769307612492586
n_peers,0.2640222215397821,0.20068810068524617,1.0,0.1753660248646002,0.223792549791639,0.761232223719411,0.670272284306796,0.35450002964292365
n_unknown_rel,0.10439335236303618,0.4329565822900146,0.1753660248646002,1.0,0.246300964653957,0.049761481335404985,0.34046565752524316,0.07451043989977482
p2c_ratio,0.1309881807867841,0.7396641942990927,0.223792549791639,0.246300964653957,1.0,0.10502083361243443,0.5034059598755782,0.34520395302428053
p2p_ratio,0.4179530682841969,0.09043536380383864,0.761232223719411,0.049761481335404985,0.10502083361243443,1.0,0.7963022148823539,0.17805960154105185
provider_ratio,0.42790214819435746,0.38519228262782046,0.670272284306796,0.34046565752524316,0.5034059598755782,0.7963022148823539,1.0,0.24143340960669077
is_tier1,0.22780342115236532,0.2769307612492586,0.35450002964292365,0.07451043989977482,0.34520395302428053,0.17805960154105185,0.24143340960669077,1.0
