,n_providers,n_customers,n_peers,n_unknown_rel,p2c_ratio,p2p_ratio,provider_ratio,is_tier1
n_providers,1.0,0.11224423291585445,0.1035124963209783,0.003978598542882185,0.07823436507525497,-0.3019021503889191,0.24568766036165426,-0.17047515471786276
n_customers,0.11224423291585445,1.0,0.032398682634447035,0.599758767345333,0.5369576820765787,-0.04870426145459133,-0.24563289900558719,0.04925355267092275
n_peers,0.1035124963209783,0.032398682634447035,1.0,0.1651418692328556,0.08853457206397757,0.5352920801653618,-0.49059962191430534,0.21202282241645629
n_unknown_rel,0.003978598542882185,0.599758767345333,0.1651418692328556,1.0,0.31729840251839486,-0.01116498904078275,-0.3282523558303395,0.055755981783942594
p2c_ratio,0.07823436507525497,0.5369576820765787,0.08853457206397757,0.31729840251839486,1.0,-0.04553088238956168,-0.4927984987261958,0.2752246452946421
p2p_ratio,-0.3019021503889191,-0.04870426145459133,0.5352920801653618,-0.01116498904078275,-0.04553088238956168,1.0,-0.7930056209515808,0.11889175590829397
provider_ratio,0.24568766036165426,-0.24563289900558719,-0.49059962191430534,-0.3282523558303395,-0.4927984987261958,-0.7930056209515808,1.0,-0.24632375604206677
is_tier1,-0.17047515471786276,0.04925355267092275,0.21202282241645629,0.055755981783942594,0.2752246452946421,0.11889175590829397,-0.24632375604206677,1.0
