,n_providers,n_customers,n_peers,n_unknown_rel,p2c_ratio,p2p_ratio,provider_ratio,is_tier1
n_providers,1.0,0.04489723354711896,0.1311470083276055,0.03854287400641582,0.03478683658293667,0.20438987775930315,0.30523063621494273,0.2901954258298358
n_customers,0.04489723354711896,1.0,0.06303238405840272,0.04557401434630506,0.45969066308386913,0.06876843562219907,0.18198996859333763,0.4671703546361082
n_peers,0.1311470083276055,0.06303238405840272,1.0,0.012481729649810477,0.055343257598650254,0.6029500834766859,0.3985029673146733,0.4959559107531101
n_unknown_rel,0.03854287400641582,0.04557401434630506,0.012481729649810477,1.0,0.10654407687990394,0.01868512290962004,0.12357483307747712,0.24506331871433146
p2c_ratio,0.03478683658293667,0.45969066308386913,0.055343257598650254,0.10654407687990394,1.0,0.09593772327964634,0.22288365252759965,0.23383585918285843
p2p_ratio,0.20438987775930315,0.06876843562219907,0.6029500834766859,0.01868512290962004,0.09593772327964634,1.0,0.547309564626056,0.15908498823156939
provider_ratio,0.30523063621494273,0.18198996859333763,0.3985029673146733,0.12357483307747712,0.22288365252759965,0.547309564626056,1.0,0.23967426551587917
is_tier1,0.2901954258298358,0.4671703546361082,0.4959559107531101,0.24506331871433146,0.23383585918285843,0.15908498823156939,0.23967426551587917,1.0
