,rel_coverage,frac_p2c_edges,frac_p2p_edges,frac_unknown_edges,valley_free_violations,valley_free_violation_rate,valley_free_paths_checked,avg_violation_depth
rel_coverage,1.0,-0.9355713862074937,0.940073411050571,-1.0000000000000946,0.3188492207526075,0.4256869379967362,-0.8962294697814103,0.5650471242398035
frac_p2c_edges,-0.9355713862074937,1.0,-0.999915866060081,0.9355713862074095,-0.11223114449914111,-0.20967540335793888,0.6930581037797134,-0.5075148859473654
frac_p2p_edges,0.940073411050571,-0.999915866060081,1.0,-0.9400734110504787,0.12007685518031172,0.21808857082892147,-0.7021029313461696,0.5107865636975214
frac_unknown_edges,-1.0000000000000946,0.9355713862074095,-0.9400734110504787,1.0,-0.3188492207525773,-0.425686937996696,0.8962294697813254,-0.56504712423975
valley_free_violations,0.3188492207526075,-0.11223114449914111,0.12007685518031172,-0.3188492207525773,1.0,0.9926227087807479,-0.6326393686260725,0.8599913205421434
valley_free_violation_rate,0.4256869379967362,-0.20967540335793888,0.21808857082892147,-0.425686937996696,0.9926227087807479,1.0,-0.7218619123104391,0.8735870405250555
valley_free_paths_checked,-0.8962294697814103,0.6930581037797134,-0.7021029313461696,0.8962294697813254,-0.6326393686260725,-0.7218619123104391,1.0,-0.6667096607569479
avg_violation_depth,0.5650471242398035,-0.5075148859473654,0.5107865636975214,-0.56504712423975,0.8599913205421434,0.8735870405250555,-0.6667096607569479,1.0
