,adj_eig_ratio_1_2,algebraic_connectivity,assortativity,avg_edge_ixp_cosine_dist,avg_path_length,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,clustering_avg_local,clustering_global,core_mean,core_std,density,ego_avg_violation_depth,ego_edges,ego_nodes,ego_transit_vf_rate,ego_transit_violations,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,kirchhoff_index,lcc_fraction,log_spanning_trees,median_edge_ixp_cosine_dist,n_edges,n_edges_full,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_nodes,n_nodes_full,natural_connectivity,percolation_limit,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,vf_rate_delta
n_edges_missing_ixp_data,0.4,0.8,0.6,-0.7378647873726218,-0.8,-1.0,-1.0,0.8,-1.0,0.2,0.6,0.8,-1.0,0.6,0.31622776601683794,1.0,0.9486832980505138,-0.4,-0.4,-1.0,-1.0,0.2,-0.4,-1.0,0.0,0.8,1.0,-0.8944271909999159,1.0,-0.2,1.0,0.8944271909999159,0.9486832980505138,-0.4,1.0,-1.0,-0.9486832980505138,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.4,1.0,-0.31622776601683794,0.8944271909999159,0.2
n_edges_with_ixp_data,0.0,0.8944271909999159,0.8944271909999159,-0.9428090415820635,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.0,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,0.7071067811865476,0.8944271909999159,0.7071067811865476,-0.4472135954999579,-0.4472135954999579,-0.8944271909999159,-0.8944271909999159,0.0,-0.4472135954999579,-0.8944271909999159,-0.4472135954999579,0.4472135954999579,0.8944271909999159,-1.0,0.8944271909999159,0.0,0.8944271909999159,1.0,0.7071067811865476,0.0,0.8944271909999159,-0.8944271909999159,-0.9428090415820635,-1.0,-1.0,1.0,-1.0,0.0,0.8944271909999159,0.0,1.0,0.0
n_nodes,0.6324555320336759,0.6324555320336759,0.31622776601683794,-0.5,-0.6324555320336759,-0.9486832980505138,-0.9486832980505138,0.6324555320336759,-0.9486832980505138,0.31622776601683794,0.31622776601683794,0.6324555320336759,-0.9486832980505138,0.31622776601683794,0.0,0.9486832980505138,1.0,-0.31622776601683794,-0.31622776601683794,-0.9486832980505138,-0.9486832980505138,0.31622776601683794,-0.31622776601683794,-0.9486832980505138,0.31622776601683794,0.9486832980505138,0.9486832980505138,-0.7071067811865476,0.9486832980505138,-0.31622776601683794,0.9486832980505138,0.7071067811865476,1.0,-0.6324555320336759,0.9486832980505138,-0.9486832980505138,-0.8333333333333334,-0.7071067811865476,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,0.6324555320336759,0.9486832980505138,-0.5,0.7071067811865476,0.31622776601683794
n_nodes_full,-1.0,-0.2,0.4,-0.31622776601683794,0.2,0.4,0.4,-0.2,0.4,-0.8,0.4,-0.2,0.4,0.4,0.6324555320336759,-0.4,-0.6324555320336759,0.4,0.4,0.4,0.4,-0.8,-0.4,0.4,-0.8,-0.8,-0.4,0.0,-0.4,0.8,-0.4,0.0,-0.6324555320336759,1.0,-0.4,0.4,0.31622776601683794,0.0,0.0,0.0,0.0,-1.0,-0.4,0.9486832980505138,0.0,-0.8
natural_connectivity,0.4,0.8,0.6,-0.7378647873726218,-0.8,-1.0,-1.0,0.8,-1.0,0.2,0.6,0.8,-1.0,0.6,0.31622776601683794,1.0,0.9486832980505138,-0.4,-0.4,-1.0,-1.0,0.2,-0.4,-1.0,0.0,0.8,1.0,-0.8944271909999159,1.0,-0.2,1.0,0.8944271909999159,0.9486832980505138,-0.4,1.0,-1.0,-0.9486832980505138,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.4,1.0,-0.31622776601683794,0.8944271909999159,0.2
percolation_limit,-0.4,-0.8,-0.6,0.7378647873726218,0.8,1.0,1.0,-0.8,1.0,-0.2,-0.6,-0.8,1.0,-0.6,-0.31622776601683794,-1.0,-0.9486832980505138,0.4,0.4,1.0,1.0,-0.2,0.4,1.0,0.0,-0.8,-1.0,0.8944271909999159,-1.0,0.2,-1.0,-0.8944271909999159,-0.9486832980505138,0.4,-1.0,1.0,0.9486832980505138,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.4,-1.0,0.31622776601683794,-0.8944271909999159,-0.2
rich_club_p25,-0.31622776601683794,-0.9486832980505138,-0.7378647873726218,0.7777777777777778,0.9486832980505138,0.9486832980505138,0.9486832980505138,-0.9486832980505138,0.9486832980505138,-0.31622776601683794,-0.7378647873726218,-0.9486832980505138,0.9486832980505138,-0.7378647873726218,-0.5,-0.9486832980505138,-0.8333333333333334,0.6324555320336759,0.6324555320336759,0.9486832980505138,0.9486832980505138,-0.31622776601683794,0.21081851067789195,0.9486832980505138,0.21081851067789195,-0.6324555320336759,-0.9486832980505138,0.9428090415820635,-0.9486832980505138,0.31622776601683794,-0.9486832980505138,-0.9428090415820635,-0.8333333333333334,0.31622776601683794,-0.9486832980505138,0.9486832980505138,1.0,0.9428090415820635,0.9428090415820635,-0.9428090415820635,0.9428090415820635,-0.31622776601683794,-0.9486832980505138,0.3333333333333333,-0.9428090415820635,-0.31622776601683794
rich_club_p50,0.0,-0.8944271909999159,-0.8944271909999159,0.9428090415820635,0.8944271909999159,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,0.0,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,-0.7071067811865476,-0.8944271909999159,-0.7071067811865476,0.4472135954999579,0.4472135954999579,0.8944271909999159,0.8944271909999159,0.0,0.4472135954999579,0.8944271909999159,0.4472135954999579,-0.4472135954999579,-0.8944271909999159,1.0,-0.8944271909999159,0.0,-0.8944271909999159,-1.0,-0.7071067811865476,0.0,-0.8944271909999159,0.8944271909999159,0.9428090415820635,1.0,1.0,-1.0,1.0,0.0,-0.8944271909999159,0.0,-1.0,0.0
rich_club_p75,0.0,-0.8944271909999159,-0.8944271909999159,0.9428090415820635,0.8944271909999159,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,0.0,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,-0.7071067811865476,-0.8944271909999159,-0.7071067811865476,0.4472135954999579,0.4472135954999579,0.8944271909999159,0.8944271909999159,0.0,0.4472135954999579,0.8944271909999159,0.4472135954999579,-0.4472135954999579,-0.8944271909999159,1.0,-0.8944271909999159,0.0,-0.8944271909999159,-1.0,-0.7071067811865476,0.0,-0.8944271909999159,0.8944271909999159,0.9428090415820635,1.0,1.0,-1.0,1.0,0.0,-0.8944271909999159,0.0,-1.0,0.0
rich_club_p90,0.0,0.8944271909999159,0.8944271909999159,-0.9428090415820635,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.0,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,0.7071067811865476,0.8944271909999159,0.7071067811865476,-0.4472135954999579,-0.4472135954999579,-0.8944271909999159,-0.8944271909999159,0.0,-0.4472135954999579,-0.8944271909999159,-0.4472135954999579,0.4472135954999579,0.8944271909999159,-1.0,0.8944271909999159,0.0,0.8944271909999159,1.0,0.7071067811865476,0.0,0.8944271909999159,-0.8944271909999159,-0.9428090415820635,-1.0,-1.0,1.0,-1.0,0.0,0.8944271909999159,0.0,1.0,0.0
