,n_providers,n_customers,n_peers,n_unknown_rel,p2c_ratio,p2p_ratio,provider_ratio,is_tier1
n_providers,1.0,0.07275068462465693,-0.2193016418639885,-0.0334539236573108,0.06895092944050131,-0.32050509713018155,0.32539076420253177,-0.2155820702122612
n_customers,0.07275068462465693,1.0,0.27289280292195955,0.2607327248075157,0.9989708070432688,0.1689352413441483,-0.5265893778608511,0.3339834758096633
n_peers,-0.2193016418639885,0.27289280292195955,1.0,0.11407110810309475,0.26061717079018315,0.9717551198897866,-0.8174259236418557,0.24098628043185874
n_unknown_rel,-0.0334539236573108,0.2607327248075157,0.11407110810309475,1.0,0.25559346642742686,0.061177594639562606,-0.32942099624581445,0.07465241528002747
p2c_ratio,0.06895092944050131,0.9989708070432688,0.26061717079018315,0.25559346642742686,1.0,0.15993524109842935,-0.5249004712066531,0.31987745219958236
p2p_ratio,-0.32050509713018155,0.1689352413441483,0.9717551198897866,0.061177594639562606,0.15993524109842935,1.0,-0.831366023807047,0.1729886901159045
provider_ratio,0.32539076420253177,-0.5265893778608511,-0.8174259236418557,-0.32942099624581445,-0.5249004712066531,-0.831366023807047,1.0,-0.22105540924315523
is_tier1,-0.2155820702122612,0.3339834758096633,0.24098628043185874,0.07465241528002747,0.31987745219958236,0.1729886901159045,-0.22105540924315523,1.0
