,rel_coverage,frac_p2c_edges,frac_p2p_edges,frac_unknown_edges,valley_free_violations,valley_free_violation_rate,valley_free_paths_checked,avg_violation_depth
rel_coverage,1.0,-0.7378647873726218,0.7378647873726218,-1.0,0.6324555320336759,0.6324555320336759,-0.9486832980505138,0.6324555320336759
frac_p2c_edges,-0.7378647873726218,1.0,-1.0,0.7378647873726218,-0.4,-0.4,0.8,-0.4
frac_p2p_edges,0.7378647873726218,-1.0,1.0,-0.7378647873726218,0.4,0.4,-0.8,0.4
frac_unknown_edges,-1.0,0.7378647873726218,-0.7378647873726218,1.0,-0.6324555320336759,-0.6324555320336759,0.9486832980505138,-0.6324555320336759
valley_free_violations,0.6324555320336759,-0.4,0.4,-0.6324555320336759,1.0,1.0,-0.8,1.0
valley_free_violation_rate,0.6324555320336759,-0.4,0.4,-0.6324555320336759,1.0,1.0,-0.8,1.0
valley_free_paths_checked,-0.9486832980505138,0.8,-0.8,0.9486832980505138,-0.8,-0.8,1.0,-0.8
avg_violation_depth,0.6324555320336759,-0.4,0.4,-0.6324555320336759,1.0,1.0,-0.8,1.0
