,rel_coverage,frac_p2c_edges,frac_p2p_edges,frac_unknown_edges,valley_free_violations,valley_free_violation_rate,valley_free_paths_checked,avg_violation_depth
rel_coverage,1.0,0.9744300592038163,0.9750069352976531,1.0000000000475098,0.4395468160014571,0.5328103996096323,0.8905713824840987,0.6056986592790518
frac_p2c_edges,0.9744300592038163,1.0,0.9999511889804988,0.9744300589774575,0.34917791675956833,0.4259823825505656,0.7631532343271936,0.5945879697186751
frac_p2p_edges,0.9750069352976531,0.9999511889804988,1.0,0.9750069352981056,0.3417311525587295,0.4204903604547147,0.7634422043584863,0.5922009368224808
frac_unknown_edges,1.0000000000475098,0.9744300589774575,0.9750069352981056,1.0,0.4395468167127538,0.5328103996447608,0.8905713849027299,0.605698660413916
valley_free_violations,0.4395468160014571,0.34917791675956833,0.3417311525587295,0.4395468167127538,1.0,0.9947714228624114,0.6583319619449366,0.8688706286015759
valley_free_violation_rate,0.5328103996096323,0.4259823825505656,0.4204903604547147,0.5328103996447608,0.9947714228624114,1.0,0.7446533429270427,0.8851721955394631
valley_free_paths_checked,0.8905713824840987,0.7631532343271936,0.7634422043584863,0.8905713849027299,0.6583319619449366,0.7446533429270427,1.0,0.7064801011647325
avg_violation_depth,0.6056986592790518,0.5945879697186751,0.5922009368224808,0.605698660413916,0.8688706286015759,0.8851721955394631,0.7064801011647325,1.0
